repeat,seed,n,genes,observed_seconds,one_refit_seconds,projected_199_serial_minutes,streaming_working_arrays_mb
1,20260910,1000,10,0.0019686250016093254,0.0018645840464159846,0.006217014170639838,0.02288818359375
1,20260910,10000,10,0.016037957975640893,0.016207165899686515,0.05402106620022096,0.2288818359375
1,20260910,100000,10,0.1785407499410212,0.1761875409865752,0.5873310234378247,2.288818359375
1,20260910,1000000,10,2.0097495829686522,1.9848122909897938,6.61645659149896,22.88818359375
2,20260911,1000,10,0.0020304169738665223,0.002062999992631376,0.006876123591791838,0.02288818359375
2,20260911,10000,10,0.01994354196358472,0.01889800000935793,0.06301075906376355,0.2288818359375
2,20260911,100000,10,0.18821966694667935,0.18518179096281528,0.6173232678091154,2.288818359375
2,20260911,1000000,10,2.0687120830407366,1.9927785829640925,6.643860834881585,22.88818359375
3,20260912,1000,10,0.002023083041422069,0.0018885419704020023,0.006297382252523675,0.02288818359375
3,20260912,10000,10,0.021773707936517894,0.020020750002004206,0.06676504930558926,0.2288818359375
3,20260912,100000,10,0.18490370793733746,0.18709520902484655,0.6236141717313634,2.288818359375
3,20260912,1000000,10,1.9824401669902727,1.9970032500568777,6.656434782138482,22.88818359375
4,20260913,1000,10,0.002015999983996153,0.0018777080113068223,0.006261331570567563,0.02288818359375
4,20260913,10000,10,0.02123854192905128,0.0201802080264315,0.067284998986482,0.2288818359375
4,20260913,100000,10,0.1872670000884682,0.1860286669107154,0.6201161952553472,2.288818359375
4,20260913,1000000,10,1.997542875004001,1.996595042059198,6.6553326040797405,22.88818359375
5,20260914,1000,10,0.0020702920155599713,0.001972666010260582,0.006577180467623596,0.02288818359375
5,20260914,10000,10,0.022840374964289367,0.03459549997933209,0.11512241451418959,0.2288818359375
5,20260914,100000,10,0.1895909170852974,0.1814723339630291,0.605043089595468,2.288818359375
5,20260914,1000000,10,2.0459062500158325,1.9820151659660041,6.607782071287511,22.88818359375
