"cell","developmental_stage","study","ena_sample"
"E6.17.1616","embryonic day 6","E-MTAB-3929","ERS888745"
"E6.17.1617","embryonic day 6","E-MTAB-3929","ERS888746"
"E6.17.1618","embryonic day 6","E-MTAB-3929","ERS888747"
"E6.17.1619","embryonic day 6","E-MTAB-3929","ERS888748"
"E6.17.1620","embryonic day 6","E-MTAB-3929","ERS888749"
"E6.18.1622","embryonic day 6","E-MTAB-3929","ERS888751"
"E6.18.1624","embryonic day 6","E-MTAB-3929","ERS888753"
"E6.18.1625","embryonic day 6","E-MTAB-3929","ERS888754"
"E6.18.1626","embryonic day 6","E-MTAB-3929","ERS888755"
"E6.18.1628","embryonic day 6","E-MTAB-3929","ERS888757"
"E6.18.1629","embryonic day 6","E-MTAB-3929","ERS888758"
"E6.18.1630","embryonic day 6","E-MTAB-3929","ERS888759"
"E6.18.1632","embryonic day 6","E-MTAB-3929","ERS888760"
"E6.18.1633","embryonic day 6","E-MTAB-3929","ERS888761"
"E6.18.1635","embryonic day 6","E-MTAB-3929","ERS888763"
"E6.18.1636","embryonic day 6","E-MTAB-3929","ERS888764"
"E6.18.1637","embryonic day 6","E-MTAB-3929","ERS888765"
"E6.18.1638","embryonic day 6","E-MTAB-3929","ERS888766"
"E6.18.1639","embryonic day 6","E-MTAB-3929","ERS888767"
"E6.18.1640","embryonic day 6","E-MTAB-3929","ERS888768"
"E6.18.1641","embryonic day 6","E-MTAB-3929","ERS888769"
"E6.18.1643","embryonic day 6","E-MTAB-3929","ERS888771"
"E6.18.1644","embryonic day 6","E-MTAB-3929","ERS888772"
"E6.18.1645","embryonic day 6","E-MTAB-3929","ERS888773"
"E6.2.108","embryonic day 6","E-MTAB-3929","ERS888777"
"E6.2.109","embryonic day 6","E-MTAB-3929","ERS888778"
"E6.2.116","embryonic day 6","E-MTAB-3929","ERS888781"
"E6.22.1846","embryonic day 6","E-MTAB-3929","ERS888785"
"E6.22.1847","embryonic day 6","E-MTAB-3929","ERS888786"
"E6.22.1848","embryonic day 6","E-MTAB-3929","ERS888787"
"E6.22.1850","embryonic day 6","E-MTAB-3929","ERS888789"
"E6.22.1851","embryonic day 6","E-MTAB-3929","ERS888790"
"E6.22.1852","embryonic day 6","E-MTAB-3929","ERS888791"
"E6.22.1853","embryonic day 6","E-MTAB-3929","ERS888792"
"E6.22.1854","embryonic day 6","E-MTAB-3929","ERS888793"
"E6.22.1855","embryonic day 6","E-MTAB-3929","ERS888794"
"E6.22.1856","embryonic day 6","E-MTAB-3929","ERS888795"
"E6.22.1857","embryonic day 6","E-MTAB-3929","ERS888796"
"E6.22.1858","embryonic day 6","E-MTAB-3929","ERS888797"
"E6.22.1859","embryonic day 6","E-MTAB-3929","ERS888798"
"E6.22.1860","embryonic day 6","E-MTAB-3929","ERS888799"
"E6.22.1861","embryonic day 6","E-MTAB-3929","ERS888800"
"E6.22.1862","embryonic day 6","E-MTAB-3929","ERS888801"
"E6.22.1863","embryonic day 6","E-MTAB-3929","ERS888802"
"E6.22.1864","embryonic day 6","E-MTAB-3929","ERS888803"
"E6.22.1865","embryonic day 6","E-MTAB-3929","ERS888804"
"E6.22.1866","embryonic day 6","E-MTAB-3929","ERS888805"
"E6.22.1867","embryonic day 6","E-MTAB-3929","ERS888806"
"E6.3.383","embryonic day 6","E-MTAB-3929","ERS888807"
"E6.3.384","embryonic day 6","E-MTAB-3929","ERS888808"
"E6.3.389","embryonic day 6","E-MTAB-3929","ERS888809"
"E6.6.707","embryonic day 6","E-MTAB-3929","ERS888819"
"E6.6.708","embryonic day 6","E-MTAB-3929","ERS888820"
"E6.6.709","embryonic day 6","E-MTAB-3929","ERS888821"
"E6.6.710","embryonic day 6","E-MTAB-3929","ERS888822"
"E6.6.712","embryonic day 6","E-MTAB-3929","ERS888823"
"E6.6.713","embryonic day 6","E-MTAB-3929","ERS888824"
"E6.6.714","embryonic day 6","E-MTAB-3929","ERS888825"
"E6.6.715","embryonic day 6","E-MTAB-3929","ERS888826"
"E6.6.716","embryonic day 6","E-MTAB-3929","ERS888827"
"E6.6.717","embryonic day 6","E-MTAB-3929","ERS888828"
"E6.6.718","embryonic day 6","E-MTAB-3929","ERS888829"
"E6.6.722","embryonic day 6","E-MTAB-3929","ERS888833"
"E6.6.725","embryonic day 6","E-MTAB-3929","ERS888836"
"E6.6.727","embryonic day 6","E-MTAB-3929","ERS888838"
"E6.6.728","embryonic day 6","E-MTAB-3929","ERS888839"
"E6.7.729","embryonic day 6","E-MTAB-3929","ERS888840"
"E6.7.737","embryonic day 6","E-MTAB-3929","ERS888841"
"E6.7.738","embryonic day 6","E-MTAB-3929","ERS888842"
"E6.7.741","embryonic day 6","E-MTAB-3929","ERS888844"
"E6.7.742","embryonic day 6","E-MTAB-3929","ERS888845"
"E6.7.743","embryonic day 6","E-MTAB-3929","ERS888846"
"E6.7.744","embryonic day 6","E-MTAB-3929","ERS888847"
"E6.8.769","embryonic day 6","E-MTAB-3929","ERS888848"
"E6.8.771","embryonic day 6","E-MTAB-3929","ERS888849"
"E6.8.772","embryonic day 6","E-MTAB-3929","ERS888850"
"E6.8.773","embryonic day 6","E-MTAB-3929","ERS888851"
"E6.8.774","embryonic day 6","E-MTAB-3929","ERS888852"
"E6.8.776","embryonic day 6","E-MTAB-3929","ERS888854"
"E6.8.777","embryonic day 6","E-MTAB-3929","ERS888855"
"E6.8.778","embryonic day 6","E-MTAB-3929","ERS888856"
"E6.8.779","embryonic day 6","E-MTAB-3929","ERS888857"
"E6.8.780","embryonic day 6","E-MTAB-3929","ERS888858"
"E6.8.781","embryonic day 6","E-MTAB-3929","ERS888859"
"E6.8.782","embryonic day 6","E-MTAB-3929","ERS888860"
"E6.8.784","embryonic day 6","E-MTAB-3929","ERS888862"
"E6.8.785","embryonic day 6","E-MTAB-3929","ERS888863"
"E6.8.786","embryonic day 6","E-MTAB-3929","ERS888864"
"E6.8.787","embryonic day 6","E-MTAB-3929","ERS888865"
"E6.8.789","embryonic day 6","E-MTAB-3929","ERS888866"
"E6.8.790","embryonic day 6","E-MTAB-3929","ERS888867"
"E6.8.791","embryonic day 6","E-MTAB-3929","ERS888868"
"E6.8.792","embryonic day 6","E-MTAB-3929","ERS888869"
"E6.8.793","embryonic day 6","E-MTAB-3929","ERS888870"
"E6.8.794","embryonic day 6","E-MTAB-3929","ERS888871"
"E6.8.795","embryonic day 6","E-MTAB-3929","ERS888872"
"E6.8.796","embryonic day 6","E-MTAB-3929","ERS888873"
"E6.8.797","embryonic day 6","E-MTAB-3929","ERS888874"
"E6.8.798","embryonic day 6","E-MTAB-3929","ERS888875"
"E6.8.799","embryonic day 6","E-MTAB-3929","ERS888876"
"E6.8.800","embryonic day 6","E-MTAB-3929","ERS888877"
"E6.8.801","embryonic day 6","E-MTAB-3929","ERS888878"
"E6.8.802","embryonic day 6","E-MTAB-3929","ERS888879"
"E6.8.803","embryonic day 6","E-MTAB-3929","ERS888880"
"E6.8.804","embryonic day 6","E-MTAB-3929","ERS888881"
"E6.8.806","embryonic day 6","E-MTAB-3929","ERS888882"
"E6.8.807","embryonic day 6","E-MTAB-3929","ERS888883"
"E6.8.808","embryonic day 6","E-MTAB-3929","ERS888884"
"E6.8.809","embryonic day 6","E-MTAB-3929","ERS888885"
"E6.8.810","embryonic day 6","E-MTAB-3929","ERS888886"
"E6.8.811","embryonic day 6","E-MTAB-3929","ERS888887"
"E6.8.812","embryonic day 6","E-MTAB-3929","ERS888888"
"E6.8.813","embryonic day 6","E-MTAB-3929","ERS888889"
"E6.8.814","embryonic day 6","E-MTAB-3929","ERS888890"
"E6.8.815","embryonic day 6","E-MTAB-3929","ERS888891"
"E6.8.816","embryonic day 6","E-MTAB-3929","ERS888892"
"E6.8.817","embryonic day 6","E-MTAB-3929","ERS888893"
"E6.8.818","embryonic day 6","E-MTAB-3929","ERS888894"
"E6.8.819","embryonic day 6","E-MTAB-3929","ERS888895"
"E6.8.820","embryonic day 6","E-MTAB-3929","ERS888896"
"E6.8.821","embryonic day 6","E-MTAB-3929","ERS888897"
"E6.8.822","embryonic day 6","E-MTAB-3929","ERS888898"
"E6.8.823","embryonic day 6","E-MTAB-3929","ERS888899"
"E6.8.824","embryonic day 6","E-MTAB-3929","ERS888900"
"E6.8.825","embryonic day 6","E-MTAB-3929","ERS888901"
"E6.8.827","embryonic day 6","E-MTAB-3929","ERS888903"
"E6.8.828","embryonic day 6","E-MTAB-3929","ERS888904"
"E6.8.829","embryonic day 6","E-MTAB-3929","ERS888905"
"E6.8.831","embryonic day 6","E-MTAB-3929","ERS888906"
"E6.8.832","embryonic day 6","E-MTAB-3929","ERS888907"
"E6.9.1007","embryonic day 6","E-MTAB-3929","ERS888908"
"E6.9.1010","embryonic day 6","E-MTAB-3929","ERS888910"
"E6.9.1013","embryonic day 6","E-MTAB-3929","ERS888913"
"E6.9.1014","embryonic day 6","E-MTAB-3929","ERS888914"
"E6.9.1020","embryonic day 6","E-MTAB-3929","ERS888919"
"E6.9.1022","embryonic day 6","E-MTAB-3929","ERS888921"
"E6.9.1023","embryonic day 6","E-MTAB-3929","ERS888922"
"E6.9.1024","embryonic day 6","E-MTAB-3929","ERS888923"
"E6.9.1025","embryonic day 6","E-MTAB-3929","ERS888924"
"E7.10.745","embryonic day 7","E-MTAB-3929","ERS888926"
"E7.10.746","embryonic day 7","E-MTAB-3929","ERS888927"
"E7.10.747","embryonic day 7","E-MTAB-3929","ERS888928"
"E7.10.748","embryonic day 7","E-MTAB-3929","ERS888929"
"E7.10.750","embryonic day 7","E-MTAB-3929","ERS888931"
"E7.10.753","embryonic day 7","E-MTAB-3929","ERS888932"
"E7.10.760","embryonic day 7","E-MTAB-3929","ERS888934"
"E7.10.761","embryonic day 7","E-MTAB-3929","ERS888935"
"E7.10.762","embryonic day 7","E-MTAB-3929","ERS888936"
"E7.10.763","embryonic day 7","E-MTAB-3929","ERS888937"
"E7.10.764","embryonic day 7","E-MTAB-3929","ERS888938"
"E7.10.766","embryonic day 7","E-MTAB-3929","ERS888939"
"E7.10.767","embryonic day 7","E-MTAB-3929","ERS888940"
"E7.10.768","embryonic day 7","E-MTAB-3929","ERS888941"
"E7.11.833","embryonic day 7","E-MTAB-3929","ERS888942"
"E7.11.835","embryonic day 7","E-MTAB-3929","ERS888943"
"E7.11.836","embryonic day 7","E-MTAB-3929","ERS888944"
"E7.11.837","embryonic day 7","E-MTAB-3929","ERS888945"
"E7.11.838","embryonic day 7","E-MTAB-3929","ERS888946"
"E7.11.839","embryonic day 7","E-MTAB-3929","ERS888947"
"E7.11.840","embryonic day 7","E-MTAB-3929","ERS888948"
"E7.11.841","embryonic day 7","E-MTAB-3929","ERS888949"
"E7.11.842","embryonic day 7","E-MTAB-3929","ERS888950"
"E7.11.843","embryonic day 7","E-MTAB-3929","ERS888951"
"E7.11.844","embryonic day 7","E-MTAB-3929","ERS888952"
"E7.11.845","embryonic day 7","E-MTAB-3929","ERS888953"
"E7.11.847","embryonic day 7","E-MTAB-3929","ERS888955"
"E7.11.848","embryonic day 7","E-MTAB-3929","ERS888956"
"E7.11.849","embryonic day 7","E-MTAB-3929","ERS888957"
"E7.11.850","embryonic day 7","E-MTAB-3929","ERS888958"
"E7.11.851","embryonic day 7","E-MTAB-3929","ERS888959"
"E7.11.852","embryonic day 7","E-MTAB-3929","ERS888960"
"E7.11.854","embryonic day 7","E-MTAB-3929","ERS888962"
"E7.11.855","embryonic day 7","E-MTAB-3929","ERS888963"
"E7.11.856","embryonic day 7","E-MTAB-3929","ERS888964"
"E7.12.857","embryonic day 7","E-MTAB-3929","ERS888965"
"E7.12.858","embryonic day 7","E-MTAB-3929","ERS888966"
"E7.12.859","embryonic day 7","E-MTAB-3929","ERS888967"
"E7.12.860","embryonic day 7","E-MTAB-3929","ERS888968"
"E7.12.861","embryonic day 7","E-MTAB-3929","ERS888969"
"E7.12.862","embryonic day 7","E-MTAB-3929","ERS888970"
"E7.12.863","embryonic day 7","E-MTAB-3929","ERS888971"
"E7.12.864","embryonic day 7","E-MTAB-3929","ERS888972"
"E7.12.865","embryonic day 7","E-MTAB-3929","ERS888973"
"E7.12.869","embryonic day 7","E-MTAB-3929","ERS888975"
"E7.12.870","embryonic day 7","E-MTAB-3929","ERS888976"
"E7.12.871","embryonic day 7","E-MTAB-3929","ERS888977"
"E7.12.872","embryonic day 7","E-MTAB-3929","ERS888978"
"E7.12.874","embryonic day 7","E-MTAB-3929","ERS888979"
"E7.12.875","embryonic day 7","E-MTAB-3929","ERS888980"
"E7.12.876","embryonic day 7","E-MTAB-3929","ERS888981"
"E7.12.877","embryonic day 7","E-MTAB-3929","ERS888982"
"E7.12.878","embryonic day 7","E-MTAB-3929","ERS888983"
"E7.12.879","embryonic day 7","E-MTAB-3929","ERS888984"
"E7.13.881","embryonic day 7","E-MTAB-3929","ERS888986"
"E7.13.882","embryonic day 7","E-MTAB-3929","ERS888987"
"E7.13.883","embryonic day 7","E-MTAB-3929","ERS888988"
"E7.13.884","embryonic day 7","E-MTAB-3929","ERS888989"
"E7.13.885","embryonic day 7","E-MTAB-3929","ERS888990"
"E7.13.886","embryonic day 7","E-MTAB-3929","ERS888991"
"E7.13.887","embryonic day 7","E-MTAB-3929","ERS888992"
"E7.13.888","embryonic day 7","E-MTAB-3929","ERS888993"
"E7.13.889","embryonic day 7","E-MTAB-3929","ERS888994"
"E7.13.890","embryonic day 7","E-MTAB-3929","ERS888995"
"E7.13.891","embryonic day 7","E-MTAB-3929","ERS888996"
"E7.13.892","embryonic day 7","E-MTAB-3929","ERS888997"
"E7.14.893","embryonic day 7","E-MTAB-3929","ERS888998"
"E7.14.894","embryonic day 7","E-MTAB-3929","ERS888999"
"E7.14.895","embryonic day 7","E-MTAB-3929","ERS889000"
"E7.14.896","embryonic day 7","E-MTAB-3929","ERS889001"
"E7.14.897","embryonic day 7","E-MTAB-3929","ERS889002"
"E7.14.898","embryonic day 7","E-MTAB-3929","ERS889003"
"E7.14.899","embryonic day 7","E-MTAB-3929","ERS889004"
"E7.14.900","embryonic day 7","E-MTAB-3929","ERS889005"
"E7.14.901","embryonic day 7","E-MTAB-3929","ERS889006"
"E7.14.902","embryonic day 7","E-MTAB-3929","ERS889007"
"E7.14.903","embryonic day 7","E-MTAB-3929","ERS889008"
"E7.14.904","embryonic day 7","E-MTAB-3929","ERS889009"
"E7.14.905","embryonic day 7","E-MTAB-3929","ERS889010"
"E7.14.907","embryonic day 7","E-MTAB-3929","ERS889012"
"E7.14.908","embryonic day 7","E-MTAB-3929","ERS889013"
"E7.14.909","embryonic day 7","E-MTAB-3929","ERS889014"
"E7.14.910","embryonic day 7","E-MTAB-3929","ERS889015"
"E7.14.911","embryonic day 7","E-MTAB-3929","ERS889016"
"E7.14.912","embryonic day 7","E-MTAB-3929","ERS889017"
"E7.14.913","embryonic day 7","E-MTAB-3929","ERS889018"
"E7.14.914","embryonic day 7","E-MTAB-3929","ERS889019"
"E7.15.1078","embryonic day 7","E-MTAB-3929","ERS889020"
"E7.15.1079","embryonic day 7","E-MTAB-3929","ERS889021"
"E7.15.1080","embryonic day 7","E-MTAB-3929","ERS889022"
"E7.15.1082","embryonic day 7","E-MTAB-3929","ERS889024"
"E7.15.1083","embryonic day 7","E-MTAB-3929","ERS889025"
"E7.15.1084","embryonic day 7","E-MTAB-3929","ERS889026"
"E7.15.1085","embryonic day 7","E-MTAB-3929","ERS889027"
"E7.15.1086","embryonic day 7","E-MTAB-3929","ERS889028"
"E7.15.1087","embryonic day 7","E-MTAB-3929","ERS889029"
"E7.15.1088","embryonic day 7","E-MTAB-3929","ERS889030"
"E7.15.1089","embryonic day 7","E-MTAB-3929","ERS889031"
"E7.15.1090","embryonic day 7","E-MTAB-3929","ERS889032"
"E7.15.1096","embryonic day 7","E-MTAB-3929","ERS889036"
"E7.15.1100","embryonic day 7","E-MTAB-3929","ERS889039"
"E7.15.1101","embryonic day 7","E-MTAB-3929","ERS889040"
"E7.16.1102","embryonic day 7","E-MTAB-3929","ERS889041"
"E7.16.1104","embryonic day 7","E-MTAB-3929","ERS889043"
"E7.16.1106","embryonic day 7","E-MTAB-3929","ERS889045"
"E7.16.1107","embryonic day 7","E-MTAB-3929","ERS889046"
"E7.16.1108","embryonic day 7","E-MTAB-3929","ERS889047"
"E7.16.1110","embryonic day 7","E-MTAB-3929","ERS889049"
"E7.16.1111","embryonic day 7","E-MTAB-3929","ERS889050"
"E7.16.1112","embryonic day 7","E-MTAB-3929","ERS889051"
"E7.16.1113","embryonic day 7","E-MTAB-3929","ERS889052"
"E7.16.1114","embryonic day 7","E-MTAB-3929","ERS889053"
"E7.16.1115","embryonic day 7","E-MTAB-3929","ERS889054"
"E7.16.1116","embryonic day 7","E-MTAB-3929","ERS889055"
"E7.16.1118","embryonic day 7","E-MTAB-3929","ERS889056"
"E7.16.1119","embryonic day 7","E-MTAB-3929","ERS889057"
"E7.16.1120","embryonic day 7","E-MTAB-3929","ERS889058"
"E7.16.1121","embryonic day 7","E-MTAB-3929","ERS889059"
"E7.16.1122","embryonic day 7","E-MTAB-3929","ERS889060"
"E7.16.1123","embryonic day 7","E-MTAB-3929","ERS889061"
"E7.16.1124","embryonic day 7","E-MTAB-3929","ERS889062"
"E7.16.1125","embryonic day 7","E-MTAB-3929","ERS889063"
"E7.16.1126","embryonic day 7","E-MTAB-3929","ERS889064"
"E7.16.1127","embryonic day 7","E-MTAB-3929","ERS889065"
"E7.16.1128","embryonic day 7","E-MTAB-3929","ERS889066"
"E7.16.1129","embryonic day 7","E-MTAB-3929","ERS889067"
"E7.16.1130","embryonic day 7","E-MTAB-3929","ERS889068"
"E7.16.1131","embryonic day 7","E-MTAB-3929","ERS889069"
"E7.16.1132","embryonic day 7","E-MTAB-3929","ERS889070"
"E7.16.1133","embryonic day 7","E-MTAB-3929","ERS889071"
"E7.16.1134","embryonic day 7","E-MTAB-3929","ERS889072"
"E7.16.1135","embryonic day 7","E-MTAB-3929","ERS889073"
"E7.16.1138","embryonic day 7","E-MTAB-3929","ERS889075"
"E7.16.1139","embryonic day 7","E-MTAB-3929","ERS889076"
"E7.16.1141","embryonic day 7","E-MTAB-3929","ERS889077"
"E7.16.1142","embryonic day 7","E-MTAB-3929","ERS889078"
"E7.16.1143","embryonic day 7","E-MTAB-3929","ERS889079"
"E7.16.1144","embryonic day 7","E-MTAB-3929","ERS889080"
"E7.16.1146","embryonic day 7","E-MTAB-3929","ERS889081"
"E7.16.1147","embryonic day 7","E-MTAB-3929","ERS889082"
"E7.16.1148","embryonic day 7","E-MTAB-3929","ERS889083"
"E7.16.1149","embryonic day 7","E-MTAB-3929","ERS889084"
"E7.16.1150","embryonic day 7","E-MTAB-3929","ERS889085"
"E7.16.1152","embryonic day 7","E-MTAB-3929","ERS889086"
"E7.16.1153","embryonic day 7","E-MTAB-3929","ERS889087"
"E7.16.1154","embryonic day 7","E-MTAB-3929","ERS889088"
"E7.16.1156","embryonic day 7","E-MTAB-3929","ERS889090"
"E7.16.1157","embryonic day 7","E-MTAB-3929","ERS889091"
"E7.16.1158","embryonic day 7","E-MTAB-3929","ERS889092"
"E7.16.1159","embryonic day 7","E-MTAB-3929","ERS889093"
"E7.16.1160","embryonic day 7","E-MTAB-3929","ERS889094"
"E7.16.1162","embryonic day 7","E-MTAB-3929","ERS889096"
"E7.16.1164","embryonic day 7","E-MTAB-3929","ERS889098"
"E7.16.1165","embryonic day 7","E-MTAB-3929","ERS889099"
"E7.16.1166","embryonic day 7","E-MTAB-3929","ERS889100"
"E7.16.1167","embryonic day 7","E-MTAB-3929","ERS889101"
"E7.16.1168","embryonic day 7","E-MTAB-3929","ERS889102"
"E7.16.1169","embryonic day 7","E-MTAB-3929","ERS889103"
"E7.16.1170","embryonic day 7","E-MTAB-3929","ERS889104"
"E7.17.1301","embryonic day 7","E-MTAB-3929","ERS889105"
"E7.17.1302","embryonic day 7","E-MTAB-3929","ERS889106"
"E7.17.1303","embryonic day 7","E-MTAB-3929","ERS889107"
"E7.17.1305","embryonic day 7","E-MTAB-3929","ERS889109"
"E7.17.1307","embryonic day 7","E-MTAB-3929","ERS889111"
"E7.17.1309","embryonic day 7","E-MTAB-3929","ERS889113"
"E7.17.1310","embryonic day 7","E-MTAB-3929","ERS889114"
"E7.17.1311","embryonic day 7","E-MTAB-3929","ERS889115"
"E7.17.1312","embryonic day 7","E-MTAB-3929","ERS889116"
"E7.17.1313","embryonic day 7","E-MTAB-3929","ERS889117"
"E7.17.1314","embryonic day 7","E-MTAB-3929","ERS889118"
"E7.17.1315","embryonic day 7","E-MTAB-3929","ERS889119"
"E7.17.1317","embryonic day 7","E-MTAB-3929","ERS889121"
"E7.17.1320","embryonic day 7","E-MTAB-3929","ERS889123"
"E7.17.1321","embryonic day 7","E-MTAB-3929","ERS889124"
"E7.17.1324","embryonic day 7","E-MTAB-3929","ERS889126"
"E7.17.1327","embryonic day 7","E-MTAB-3929","ERS889128"
"E7.17.1329","embryonic day 7","E-MTAB-3929","ERS889130"
"E7.17.1330","embryonic day 7","E-MTAB-3929","ERS889131"
"E7.17.1332","embryonic day 7","E-MTAB-3929","ERS889133"
"E7.17.1333","embryonic day 7","E-MTAB-3929","ERS889134"
"E7.17.1334","embryonic day 7","E-MTAB-3929","ERS889135"
"E7.17.1335","embryonic day 7","E-MTAB-3929","ERS889136"
"E7.17.1336","embryonic day 7","E-MTAB-3929","ERS889137"
"E7.17.1339","embryonic day 7","E-MTAB-3929","ERS889140"
"E7.17.1340","embryonic day 7","E-MTAB-3929","ERS889141"
"E7.17.1341","embryonic day 7","E-MTAB-3929","ERS889142"
"E7.17.1342","embryonic day 7","E-MTAB-3929","ERS889143"
"E7.17.1343","embryonic day 7","E-MTAB-3929","ERS889144"
"E7.17.1344","embryonic day 7","E-MTAB-3929","ERS889145"
"E7.17.1345","embryonic day 7","E-MTAB-3929","ERS889146"
"E7.17.1346","embryonic day 7","E-MTAB-3929","ERS889147"
"E7.17.1348","embryonic day 7","E-MTAB-3929","ERS889149"
"E7.17.1350","embryonic day 7","E-MTAB-3929","ERS889151"
"E7.17.1351","embryonic day 7","E-MTAB-3929","ERS889152"
"E7.17.1352","embryonic day 7","E-MTAB-3929","ERS889153"
"E7.17.1353","embryonic day 7","E-MTAB-3929","ERS889154"
"E7.19.1542","embryonic day 7","E-MTAB-3929","ERS889157"
"E7.19.1543","embryonic day 7","E-MTAB-3929","ERS889158"
"E7.19.1544","embryonic day 7","E-MTAB-3929","ERS889159"
"E7.19.1545","embryonic day 7","E-MTAB-3929","ERS889160"
"E7.19.1546","embryonic day 7","E-MTAB-3929","ERS889161"
"E7.19.1547","embryonic day 7","E-MTAB-3929","ERS889162"
"E7.19.1548","embryonic day 7","E-MTAB-3929","ERS889163"
"E7.19.1549","embryonic day 7","E-MTAB-3929","ERS889164"
"E7.19.1550","embryonic day 7","E-MTAB-3929","ERS889165"
"E7.19.1551","embryonic day 7","E-MTAB-3929","ERS889166"
"E7.19.1552","embryonic day 7","E-MTAB-3929","ERS889167"
"E7.19.1553","embryonic day 7","E-MTAB-3929","ERS889168"
"E7.19.1564","embryonic day 7","E-MTAB-3929","ERS889171"
"E7.19.1565","embryonic day 7","E-MTAB-3929","ERS889172"
"E7.19.1566","embryonic day 7","E-MTAB-3929","ERS889173"
"E7.19.1569","embryonic day 7","E-MTAB-3929","ERS889176"
"E7.2.138","embryonic day 7","E-MTAB-3929","ERS889177"
"E7.2.139","embryonic day 7","E-MTAB-3929","ERS889178"
"E7.2.141","embryonic day 7","E-MTAB-3929","ERS889179"
"E7.2.142","embryonic day 7","E-MTAB-3929","ERS889180"
"E7.2.144","embryonic day 7","E-MTAB-3929","ERS889181"
"E7.2.145","embryonic day 7","E-MTAB-3929","ERS889182"
"E7.2.146","embryonic day 7","E-MTAB-3929","ERS889183"
"E7.2.147","embryonic day 7","E-MTAB-3929","ERS889184"
"E7.2.148","embryonic day 7","E-MTAB-3929","ERS889185"
"E7.2.149","embryonic day 7","E-MTAB-3929","ERS889186"
"E7.2.150","embryonic day 7","E-MTAB-3929","ERS889187"
"E7.2.151","embryonic day 7","E-MTAB-3929","ERS889188"
"E7.2.152","embryonic day 7","E-MTAB-3929","ERS889189"
"E7.2.154","embryonic day 7","E-MTAB-3929","ERS889191"
"E7.2.155","embryonic day 7","E-MTAB-3929","ERS889192"
"E7.2.156","embryonic day 7","E-MTAB-3929","ERS889193"
"E7.2.157","embryonic day 7","E-MTAB-3929","ERS889194"
"E7.2.158","embryonic day 7","E-MTAB-3929","ERS889195"
"E7.2.159","embryonic day 7","E-MTAB-3929","ERS889196"
"E7.2.160","embryonic day 7","E-MTAB-3929","ERS889197"
"E7.2.161","embryonic day 7","E-MTAB-3929","ERS889198"
"E7.2.162","embryonic day 7","E-MTAB-3929","ERS889199"
"E7.2.163","embryonic day 7","E-MTAB-3929","ERS889200"
"E7.2.164","embryonic day 7","E-MTAB-3929","ERS889201"
"E7.2.165","embryonic day 7","E-MTAB-3929","ERS889202"
"E7.2.166","embryonic day 7","E-MTAB-3929","ERS889203"
"E7.3.167","embryonic day 7","E-MTAB-3929","ERS889204"
"E7.3.168","embryonic day 7","E-MTAB-3929","ERS889205"
"E7.3.170","embryonic day 7","E-MTAB-3929","ERS889206"
"E7.3.171","embryonic day 7","E-MTAB-3929","ERS889207"
"E7.3.172","embryonic day 7","E-MTAB-3929","ERS889208"
"E7.3.173","embryonic day 7","E-MTAB-3929","ERS889209"
"E7.3.174","embryonic day 7","E-MTAB-3929","ERS889210"
"E7.3.175","embryonic day 7","E-MTAB-3929","ERS889211"
"E7.3.176","embryonic day 7","E-MTAB-3929","ERS889212"
"E7.3.177","embryonic day 7","E-MTAB-3929","ERS889213"
"E7.3.178","embryonic day 7","E-MTAB-3929","ERS889214"
"E7.3.179","embryonic day 7","E-MTAB-3929","ERS889215"
"E7.3.181","embryonic day 7","E-MTAB-3929","ERS889216"
"E7.3.183","embryonic day 7","E-MTAB-3929","ERS889218"
"E7.3.185","embryonic day 7","E-MTAB-3929","ERS889220"
"E7.3.186","embryonic day 7","E-MTAB-3929","ERS889221"
"E7.3.187","embryonic day 7","E-MTAB-3929","ERS889222"
"E7.3.189","embryonic day 7","E-MTAB-3929","ERS889224"
"E7.3.190","embryonic day 7","E-MTAB-3929","ERS889225"
"E7.4.191","embryonic day 7","E-MTAB-3929","ERS889226"
"E7.4.192","embryonic day 7","E-MTAB-3929","ERS889227"
"E7.4.193.1","embryonic day 7","E-MTAB-3929","ERS889228"
"E7.4.193.2","embryonic day 7","E-MTAB-3929","ERS889229"
"E7.4.194","embryonic day 7","E-MTAB-3929","ERS889230"
"E7.4.195","embryonic day 7","E-MTAB-3929","ERS889231"
"E7.4.196","embryonic day 7","E-MTAB-3929","ERS889232"
"E7.4.197","embryonic day 7","E-MTAB-3929","ERS889233"
"E7.4.198","embryonic day 7","E-MTAB-3929","ERS889234"
"E7.4.200","embryonic day 7","E-MTAB-3929","ERS889235"
"E7.4.202","embryonic day 7","E-MTAB-3929","ERS889236"
"E7.4.203","embryonic day 7","E-MTAB-3929","ERS889237"
"E7.4.204","embryonic day 7","E-MTAB-3929","ERS889238"
"E7.4.205","embryonic day 7","E-MTAB-3929","ERS889239"
"E7.4.206","embryonic day 7","E-MTAB-3929","ERS889240"
"E7.4.207","embryonic day 7","E-MTAB-3929","ERS889241"
"E7.4.208","embryonic day 7","E-MTAB-3929","ERS889242"
"E7.4.209","embryonic day 7","E-MTAB-3929","ERS889243"
"E7.4.210","embryonic day 7","E-MTAB-3929","ERS889244"
"E7.4.211","embryonic day 7","E-MTAB-3929","ERS889245"
"E7.4.213","embryonic day 7","E-MTAB-3929","ERS889247"
"E7.4.214","embryonic day 7","E-MTAB-3929","ERS889248"
